	pathway_name	annotation	interaction_name_2	ligand	receptor
CXCL12_ACKR3	CXCL	Secreted Signaling	CXCL12 - ACKR3	CXCL12	ACKR3
MIF_CD74_CXCR4	MIF	Secreted Signaling	MIF - (CD74+CXCR4)	MIF	CD74,CXCR4
MIF_CD74_CD44	MIF	Secreted Signaling	MIF - (CD74+CD44)	MIF	CD74,CD44
MIF_ACKR3	MIF	Secreted Signaling	MIF - ACKR3	MIF	ACKR3
IL6_IL6R_IL6ST	IL6	Secreted Signaling	IL6 - (IL6R+IL6ST)	IL6	IL6R,IL6ST
CLCF1_CNTFR_LIFR	LIFR	Secreted Signaling	CLCF1 - (CNTFR+LIFR)	CLCF1	CNTFR,LIFR
CTF1_LIFR_IL6ST	LIFR	Secreted Signaling	CTF1 - (LIFR+IL6ST)	CTF1	LIFR,IL6ST
IL1B_IL1R1_IL1RAP	IL1	Secreted Signaling	IL1B - (IL1R1+IL1RAP)	IL1B	IL1R1,IL1RAP
TNFSF10_TNFRSF10B	TRAIL	Secreted Signaling	TNFSF10 - TNFRSF10B	TNFSF10	TNFRSF10B
NGF_NGFR	NGF	Secreted Signaling	NGF - NGFR	NGF	NGFR
TNFSF12_TNFRSF12A	TWEAK	Secreted Signaling	TNFSF12 - TNFRSF12A	TNFSF12	TNFRSF12A
SPP1_CD44	SPP1	Secreted Signaling	SPP1 - CD44	SPP1	CD44
SPP1_ITGAV_ITGB1	SPP1	Secreted Signaling	SPP1 - (ITGAV+ITGB1)	SPP1	ITGAV,ITGB1
SPP1_ITGAV_ITGB5	SPP1	Secreted Signaling	SPP1 - (ITGAV+ITGB5)	SPP1	ITGAV,ITGB5
SPP1_ITGA4_ITGB1	SPP1	Secreted Signaling	SPP1 - (ITGA4+ITGB1)	SPP1	ITGA4,ITGB1
SPP1_ITGA9_ITGB1	SPP1	Secreted Signaling	SPP1 - (ITGA9+ITGB1)	SPP1	ITGA9,ITGB1
