Endothelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
GRN / SORT1	72.882761806829	23.0032581119458	100	59.9291849612837	15.6936927130706	32.5405261885897	74.088424362929
WNT3 / FZD10 + LRP5	15.1974542462299	45.0333277639009	0	29.0220651285762	71.9515271136876	0	72.9244221238592
MIF / CD74 + CXCR4	21.5121669625213	3.97805531287484	85.7150321058443	2.8359991473384	7.42204568044485	3.89009947775894	5.47793044355561
LAMA3 / ITGA6 + ITGB1	100	17.2423001415028	20.2886072221203	13.098427378202	29.1749630793922	34.1268964292662	19.789961382411
LAMB3 / ITGA6 + ITGB1	100	17.2423001415028	20.2886072221203	13.098427378202	29.1749630793922	34.1268964292662	19.789961382411
LAMC2 / ITGA6 + ITGB1	100	17.2423001415028	20.2886072221203	13.098427378202	29.1749630793922	34.1268964292662	19.789961382411
COL2A1 / ITGA9 + ITGB1	67.9867721741646	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
LAMA3 / ITGA9 + ITGB1	67.9867721741646	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
LAMB3 / ITGA9 + ITGB1	67.9867721741646	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
LAMC2 / ITGA9 + ITGB1	67.9867721741646	32.2289950625577	28.9122117309265	95.3329730211357	60.6225570279923	8.65702769057072	24.6999030041946
MIF / CD74 + CXCR2	27.7837404664973	8.61055487861866	85.7150321058443	7.44638560447555	7.2471315300381	4.98650841832418	5.4230195002131
WNT3 / FZD8 + LRP6	61.405112644504	38.4902766535904	2.60234585701149	0	50.5912087159944	80.5677493307951	33.4698196681879
WNT11 / FZD6	80.3271443984009	2.86769121639051	0	10.2967015746171	2.01646170658071	1.39624248663898	0
MIF / ACKR3	20.9029324264877	13.5320165513697	7.25786442517379	8.78720218888622	85.7150321058443	10.2987484267742	49.9472601333549
WNT3 / FZD3 + LRP6	38.3235691948237	28.6190156405644	3.96758170599669	38.665158102339	37.9705739597989	100	27.7354407855939
VTN / ITGA8 + ITGB1	31.2307562246408	52.8105111540095	15.1580932957418	37.775216476953	97.9229792173338	12.549167875767	54.7137586636044
BMP2 / BMPR1A + ACVR2A	27.4324794651241	61.3725474332767	0	52.0367427529916	73.5852804312869	79.4338146088989	73.6018431120849
BMP7 / BMPR1A + ACVR2A	27.4324794651241	61.3725474332767	0	52.0367427529916	73.5852804312869	79.4338146088989	73.6018431120849
WNT3 / FZD6 + LRP5	82.3147439713433	13.6140342474035	0	31.4721865856653	12.4345384484522	7.38948538585692	0
WNT3 / FZD6 + LRP6	82.0864524544627	9.60222483169069	0	20.6263468822805	8.01565249817878	13.1840627214319	0
FGF9 / FGFR1	100	80.5030933193492	12.3640849334071	74.0365812196272	52.1747126219571	46.912744941458	44.8998555851697
FGF23 / FGFR1	100	80.5030933193492	12.3640849334071	74.0365812196272	52.1747126219571	46.912744941458	44.8998555851697
MIF / CD74 + CD44	10.9447848346883	9.94781840772093	85.7150321058443	15.8142539021199	12.1851959559362	10.1293365285772	4.23709998899828
BMP2 / BMPR1A + ACVR2B	33.6834196748328	45.7124363647349	0	30.3403475844919	74.0398608552072	78.7360463742403	68.8890916766227
BMP7 / BMPR1A + ACVR2B	33.6834196748328	45.7124363647349	0	30.3403475844919	74.0398608552072	78.7360463742403	68.8890916766227
VTN / ITGAV + ITGB5	63.3331986006683	42.1871436823412	30.4200914155363	27.4117119532199	71.0600517617917	22.6186966172358	100
WNT3 / FZD8 + LRP5	61.5758870645292	54.5715137625819	7.91523232243025	0	78.4812378125966	45.1571127072608	44.1125430144258
WNT11 / FZD8	44.9498678050875	46.0776912405309	3.63945859247242	0	80.3271443984009	52.1416525941772	29.3927706088468
LAMA3 / ITGA7 + ITGB1	24.9772545951919	23.8754374151113	11.8759514608301	31.9951403670943	12.6464267526113	25.2960684824884	94.0484708117752
LAMB3 / ITGA7 + ITGB1	24.9772545951919	23.8754374151113	11.8759514608301	31.9951403670943	12.6464267526113	25.2960684824884	94.0484708117752
LAMC2 / ITGA7 + ITGB1	24.9772545951919	23.8754374151113	11.8759514608301	31.9951403670943	12.6464267526113	25.2960684824884	94.0484708117752
PYY / NPY1R	0.711114095655428	9.14833136374251	0	0	3.80115516384704	1.4458460774879	76.366049879354
PYY / GPR83	0	7.6947325855364	0	4.43049893677812	2.35482036953306	76.366049879354	0
WNT11 / FZD2	15.8823854238261	79.385897739597	36.6098078697653	80.0684980391622	80.3271443984009	26.9253735963253	38.3730647575321
LAMA3 / DAG1	70.1201802065067	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100	69.877369938478
LAMB3 / DAG1	70.1201802065067	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100	69.877369938478
LAMC2 / DAG1	70.1201802065067	35.3724028952287	14.705602308876	48.2981593268633	43.3761637847832	100	69.877369938478
NECTIN1 / NECTIN3	44.3382681387698	76.9684168982361	24.0473036662047	65.8743167030836	100	89.6150759239877	92.9181236061555
IGF2 / IGF2R	100	24.610919946363	25.2894820289799	41.8897003977541	25.4281004716656	54.3127901872508	32.1665786665927
WNT11 / FZD4	80.3271443984009	17.465293302539	0	23.6991470192041	9.50566290706695	3.20067883841755	24.5383433735539
F11R / JAM3	100	50.9271649154541	14.5800315377909	55.8312112582991	85.6746952766389	61.7274927757177	62.8042703241976
IGF2 / IGF1R	100	27.5583979665028	24.8928806752617	25.9664051098196	34.6049508704726	45.1460707739044	27.9713805555554
SEMA6A / PLXNA2	85.2427702218723	13.8842615678901	6.51131416963609	37.2452603587017	56.2377864532528	26.9657611495284	27.2918073158691
WNT3 / FZD4 + LRP5	82.3147439713433	33.5976256954673	0	47.7467935738949	26.9976451389684	11.1880608366355	40.3055128866223
FGF18 / FGFR2	4.06868197782318	38.1841704876791	10.2309762546016	68.3923278408103	51.4575933023834	6.01131691626401	3.83855770152114
WNT11 / FZD7	8.58054898523933	55.5615430751923	4.58906845250138	80.3271443984009	46.4993197362055	30.6026126454262	38.9576797987307
